name,path
"Syrtis Major",Maps/Syrtis_Major/Syrtis_Major.sanmap
"Thawing Glacier",Maps/Thawing_Glacier/Thawing_Glacier.sanmap
"The Bermuda Locket",Maps/The_Bermuda_Locket/The_Bermuda_Locket.sanmap
"The Dark Heart",Maps/The_Dark_Heart/The_Dark_Heart.sanmap
"The Ditch",Maps/The_Ditch/The_Ditch.sanmap
"The Forge",Maps/The_Forge/The_Forge.sanmap
"The Forge Survival Brutal",Maps/The_Forge_Survival_Brutal/The_Forge_Survival_Brutal.sanmap
"The Forge Survival Easy",Maps/The_Forge_Survival_Easy/The_Forge_Survival_Easy.sanmap
"The Forge Survival God Gamer",Maps/The_Forge_Survival_God_Gamer/The_Forge_Survival_God_Gamer.sanmap
"The Forge Survival Hard",Maps/The_Forge_Survival_Hard/The_Forge_Survival_Hard.sanmap
"The Forge Survival Insane",Maps/The_Forge_Survival_Insane/The_Forge_Survival_Insane.sanmap
"The Forge Survival Nightmare",Maps/The_Forge_Survival_Nightmare/The_Forge_Survival_Nightmare.sanmap
"The Forge Survival Normal",Maps/The_Forge_Survival_Normal/The_Forge_Survival_Normal.sanmap
"The Forge Survival Very Hard",Maps/The_Forge_Survival_Very_Hard/The_Forge_Survival_Very_Hard.sanmap
"The Great Void",Maps/The_Great_Void/The_Great_Void.sanmap
"The Scar",Maps/The_Scar/The_Scar.sanmap
"The Wilderness",Maps/The_Wilderness/The_Wilderness.sanmap
"There Is Time",Maps/There_Is_Time/There_Is_Time.sanmap
"There Is Time Survival Brutal",Maps/There_Is_Time_Survival_Brutal/There_Is_Time_Survival_Brutal.sanmap
"There Is Time Survival Easy",Maps/There_Is_Time_Survival_Easy/There_Is_Time_Survival_Easy.sanmap
"There Is Time Survival God Gamer",Maps/There_Is_Time_Survival_God_Gamer/There_Is_Time_Survival_God_Gamer.sanmap
"There Is Time Survival Hard",Maps/There_Is_Time_Survival_Hard/There_Is_Time_Survival_Hard.sanmap
"There Is Time Survival Insane",Maps/There_Is_Time_Survival_Insane/There_Is_Time_Survival_Insane.sanmap
"There Is Time Survival Nightmare",Maps/There_Is_Time_Survival_Nightmare/There_Is_Time_Survival_Nightmare.sanmap
"There Is Time Survival Normal",Maps/There_Is_Time_Survival_Normal/There_Is_Time_Survival_Normal.sanmap
"There Is Time Survival Very Hard",Maps/There_Is_Time_Survival_Very_Hard/There_Is_Time_Survival_Very_Hard.sanmap
"Theta Passage",Maps/Theta_Passage/Theta_Passage.sanmap
"Two Step Shuffle",Maps/Two_Step_Shuffle/Two_Step_Shuffle.sanmap
"Varga Pass",Maps/Varga_Pass/Varga_Pass.sanmap
"Vya 3 Protectorate",Maps/Vya_3_Protectorate/Vya_3_Protectorate.sanmap
"White Desert",Maps/White_Desert/White_Desert.sanmap
"White Desert Survival Brutal",Maps/White_Desert_Survival_Brutal/White_Desert_Survival_Brutal.sanmap
"White Desert Survival Easy",Maps/White_Desert_Survival_Easy/White_Desert_Survival_Easy.sanmap
"White Desert Survival God Gamer",Maps/White_Desert_Survival_God_Gamer/White_Desert_Survival_God_Gamer.sanmap
"White Desert Survival Hard",Maps/White_Desert_Survival_Hard/White_Desert_Survival_Hard.sanmap
"White Desert Survival Insane",Maps/White_Desert_Survival_Insane/White_Desert_Survival_Insane.sanmap
"White Desert Survival Nightmare",Maps/White_Desert_Survival_Nightmare/White_Desert_Survival_Nightmare.sanmap
"White Desert Survival Normal",Maps/White_Desert_Survival_Normal/White_Desert_Survival_Normal.sanmap
"White Desert Survival Very Hard",Maps/White_Desert_Survival_Very_Hard/White_Desert_Survival_Very_Hard.sanmap
"White Fire",Maps/White_Fire/White_Fire.sanmap
"Williamson s Bridge",Maps/Williamson_s_Bridge/Williamson_s_Bridge.sanmap
"Winter Duel",Maps/Winter_Duel/Winter_Duel.sanmap
"~FFA-10P_Desert_2048_41324",Maps/~FFA-10P_Desert_2048_41324/~FFA-10P_Desert_2048_41324.sanmap
"~FFA-12P_Tropical_2048_80433",Maps/~FFA-12P_Tropical_2048_80433/~FFA-12P_Tropical_2048_80433.sanmap
"~FFA-16P_Desert_2048_29390",Maps/~FFA-16P_Desert_2048_29390/~FFA-16P_Desert_2048_29390.sanmap
"~FFA-16P_Frozen_2048_4945",Maps/~FFA-16P_Frozen_2048_4945/~FFA-16P_Frozen_2048_4945.sanmap
"~FFA-16P_Tropical_2048_20299",Maps/~FFA-16P_Tropical_2048_20299/~FFA-16P_Tropical_2048_20299.sanmap
"~FFA-16P_Tropical_2048_51607",Maps/~FFA-16P_Tropical_2048_51607/~FFA-16P_Tropical_2048_51607.sanmap
"~FFA-3P_Frozen_512_44530",Maps/~FFA-3P_Frozen_512_44530/~FFA-3P_Frozen_512_44530.sanmap
"~FFA-3P_Tropical_256_95220",Maps/~FFA-3P_Tropical_256_95220/~FFA-3P_Tropical_256_95220.sanmap
"~FFA-3P_Tropical_512_24245",Maps/~FFA-3P_Tropical_512_24245/~FFA-3P_Tropical_512_24245.sanmap
"~FFA-4P_Desert_512_74685",Maps/~FFA-4P_Desert_512_74685/~FFA-4P_Desert_512_74685.sanmap
"~FFA-4P_Forest_1024_45657",Maps/~FFA-4P_Forest_1024_45657/~FFA-4P_Forest_1024_45657.sanmap
"~FFA-4P_Forest_512_59379",Maps/~FFA-4P_Forest_512_59379/~FFA-4P_Forest_512_59379.sanmap
"~FFA-4P_Frozen_1024_3511",Maps/~FFA-4P_Frozen_1024_3511/~FFA-4P_Frozen_1024_3511.sanmap
"~FFA-4P_Frozen_512_59439",Maps/~FFA-4P_Frozen_512_59439/~FFA-4P_Frozen_512_59439.sanmap
"~FFA-4P_Tropical_512_51",Maps/~FFA-4P_Tropical_512_51/~FFA-4P_Tropical_512_51.sanmap
"~FFA-6P_Frozen_1024_76663",Maps/~FFA-6P_Frozen_1024_76663/~FFA-6P_Frozen_1024_76663.sanmap
"~FFA-6P_Tropical_1024_1253",Maps/~FFA-6P_Tropical_1024_1253/~FFA-6P_Tropical_1024_1253.sanmap
"~FFA-7P_Forest_1024_73921",Maps/~FFA-7P_Forest_1024_73921/~FFA-7P_Forest_1024_73921.sanmap
"~FFA-7P_Forest_1024_97320",Maps/~FFA-7P_Forest_1024_97320/~FFA-7P_Forest_1024_97320.sanmap
"~FFA-8P_Desert_1024_28423",Maps/~FFA-8P_Desert_1024_28423/~FFA-8P_Desert_1024_28423.sanmap
"~FFA-8P_Desert_2048_43186",Maps/~FFA-8P_Desert_2048_43186/~FFA-8P_Desert_2048_43186.sanmap
"~FFA-8P_Forest_1024_60309",Maps/~FFA-8P_Forest_1024_60309/~FFA-8P_Forest_1024_60309.sanmap
"~FFA-8P_Frozen_1024_65717",Maps/~FFA-8P_Frozen_1024_65717/~FFA-8P_Frozen_1024_65717.sanmap
"~FFA-8P_Frozen_2048_13140",Maps/~FFA-8P_Frozen_2048_13140/~FFA-8P_Frozen_2048_13140.sanmap
"~TEAM-1v1_Desert_512_23678",Maps/~TEAM-1v1_Desert_512_23678/~TEAM-1v1_Desert_512_23678.sanmap
"~TEAM-1v1_Desert_512_89065",Maps/~TEAM-1v1_Desert_512_89065/~TEAM-1v1_Desert_512_89065.sanmap
"~TEAM-1v1_Forest_512_28589",Maps/~TEAM-1v1_Forest_512_28589/~TEAM-1v1_Forest_512_28589.sanmap
"~TEAM-1v1_Tropical_256_47940",Maps/~TEAM-1v1_Tropical_256_47940/~TEAM-1v1_Tropical_256_47940.sanmap
"~TEAM-1v1_Tropical_256_92536",Maps/~TEAM-1v1_Tropical_256_92536/~TEAM-1v1_Tropical_256_92536.sanmap
"~TEAM-1v1_Tropical_512_11446",Maps/~TEAM-1v1_Tropical_512_11446/~TEAM-1v1_Tropical_512_11446.sanmap
"~TEAM-2v2_Desert_512_488",Maps/~TEAM-2v2_Desert_512_488/~TEAM-2v2_Desert_512_488.sanmap
"~TEAM-2v2_Forest_512_59807",Maps/~TEAM-2v2_Forest_512_59807/~TEAM-2v2_Forest_512_59807.sanmap
"~TEAM-2v2_Forest_512_83539",Maps/~TEAM-2v2_Forest_512_83539/~TEAM-2v2_Forest_512_83539.sanmap
"~TEAM-2v2_Frozen_256_25896",Maps/~TEAM-2v2_Frozen_256_25896/~TEAM-2v2_Frozen_256_25896.sanmap
"~TEAM-2v2_Frozen_512_23540",Maps/~TEAM-2v2_Frozen_512_23540/~TEAM-2v2_Frozen_512_23540.sanmap
"~TEAM-2v2_Tropical_512_40046",Maps/~TEAM-2v2_Tropical_512_40046/~TEAM-2v2_Tropical_512_40046.sanmap
"~TEAM-2v2v2_Desert_512_62120",Maps/~TEAM-2v2v2_Desert_512_62120/~TEAM-2v2v2_Desert_512_62120.sanmap
"~TEAM-2v2v2_Tropical_512_46297",Maps/~TEAM-2v2v2_Tropical_512_46297/~TEAM-2v2v2_Tropical_512_46297.sanmap
"~TEAM-2v2v2v2_Desert_1024_20775",Maps/~TEAM-2v2v2v2_Desert_1024_20775/~TEAM-2v2v2v2_Desert_1024_20775.sanmap
"~TEAM-2v2v2v2_Forest_1024_64331",Maps/~TEAM-2v2v2v2_Forest_1024_64331/~TEAM-2v2v2v2_Forest_1024_64331.sanmap
"~TEAM-2v2v2v2_Forest_1024_88646",Maps/~TEAM-2v2v2v2_Forest_1024_88646/~TEAM-2v2v2v2_Forest_1024_88646.sanmap
"~TEAM-2v2v2v2_Frozen_2048_89705",Maps/~TEAM-2v2v2v2_Frozen_2048_89705/~TEAM-2v2v2v2_Frozen_2048_89705.sanmap
"~TEAM-3v3_Desert_512_67497",Maps/~TEAM-3v3_Desert_512_67497/~TEAM-3v3_Desert_512_67497.sanmap
"~TEAM-3v3_Forest_512_22736",Maps/~TEAM-3v3_Forest_512_22736/~TEAM-3v3_Forest_512_22736.sanmap
"~TEAM-3v3_Frozen_1024_42354",Maps/~TEAM-3v3_Frozen_1024_42354/~TEAM-3v3_Frozen_1024_42354.sanmap
"~TEAM-3v3_Frozen_512_52755",Maps/~TEAM-3v3_Frozen_512_52755/~TEAM-3v3_Frozen_512_52755.sanmap
"~TEAM-3v3_Tropical_1024_24230",Maps/~TEAM-3v3_Tropical_1024_24230/~TEAM-3v3_Tropical_1024_24230.sanmap
"~TEAM-3v3_Tropical_512_36001",Maps/~TEAM-3v3_Tropical_512_36001/~TEAM-3v3_Tropical_512_36001.sanmap
"~TEAM-3v3v3_Desert_512_54392",Maps/~TEAM-3v3v3_Desert_512_54392/~TEAM-3v3v3_Desert_512_54392.sanmap
"~TEAM-3v3v3_Tropical_1024_14958",Maps/~TEAM-3v3v3_Tropical_1024_14958/~TEAM-3v3v3_Tropical_1024_14958.sanmap
"~TEAM-3v3v3_Tropical_1024_87329",Maps/~TEAM-3v3v3_Tropical_1024_87329/~TEAM-3v3v3_Tropical_1024_87329.sanmap
"~TEAM-4v4_Desert_2048_18852",Maps/~TEAM-4v4_Desert_2048_18852/~TEAM-4v4_Desert_2048_18852.sanmap
"~TEAM-4v4_Desert_2048_72241",Maps/~TEAM-4v4_Desert_2048_72241/~TEAM-4v4_Desert_2048_72241.sanmap
"~TEAM-4v4_Forest_1024_48908",Maps/~TEAM-4v4_Forest_1024_48908/~TEAM-4v4_Forest_1024_48908.sanmap
"~TEAM-4v4_Frozen_1024_11449",Maps/~TEAM-4v4_Frozen_1024_11449/~TEAM-4v4_Frozen_1024_11449.sanmap
"~TEAM-4v4_Frozen_2048_20303",Maps/~TEAM-4v4_Frozen_2048_20303/~TEAM-4v4_Frozen_2048_20303.sanmap
"~TEAM-4v4_Frozen_2048_75501",Maps/~TEAM-4v4_Frozen_2048_75501/~TEAM-4v4_Frozen_2048_75501.sanmap
"~TEAM-4v4_Tropical_1024_22278",Maps/~TEAM-4v4_Tropical_1024_22278/~TEAM-4v4_Tropical_1024_22278.sanmap
"~TEAM-4v4v4_Forest_1024_23120",Maps/~TEAM-4v4v4_Forest_1024_23120/~TEAM-4v4v4_Forest_1024_23120.sanmap
"~TEAM-4v4v4_Frozen_1024_72975",Maps/~TEAM-4v4v4_Frozen_1024_72975/~TEAM-4v4v4_Frozen_1024_72975.sanmap
"~TEAM-4v4v4_Tropical_1024_98537",Maps/~TEAM-4v4v4_Tropical_1024_98537/~TEAM-4v4v4_Tropical_1024_98537.sanmap
"~TEAM-4v4v4v4_Desert_2048_56780",Maps/~TEAM-4v4v4v4_Desert_2048_56780/~TEAM-4v4v4v4_Desert_2048_56780.sanmap
"~TEAM-4v4v4v4_Forest_2048_94696",Maps/~TEAM-4v4v4v4_Forest_2048_94696/~TEAM-4v4v4v4_Forest_2048_94696.sanmap
"~TEAM-4v4v4v4_Frozen_1024_53761",Maps/~TEAM-4v4v4v4_Frozen_1024_53761/~TEAM-4v4v4v4_Frozen_1024_53761.sanmap
"~TEAM-4v4v4v4_Frozen_2048_186",Maps/~TEAM-4v4v4v4_Frozen_2048_186/~TEAM-4v4v4v4_Frozen_2048_186.sanmap
"~TEAM-8v8_Desert_2048_28017",Maps/~TEAM-8v8_Desert_2048_28017/~TEAM-8v8_Desert_2048_28017.sanmap
"~TEAM-8v8_Desert_2048_3957",Maps/~TEAM-8v8_Desert_2048_3957/~TEAM-8v8_Desert_2048_3957.sanmap
"~TEAM-8v8_Desert_2048_61114",Maps/~TEAM-8v8_Desert_2048_61114/~TEAM-8v8_Desert_2048_61114.sanmap
"~TEAM-8v8_Forest_2048_41150",Maps/~TEAM-8v8_Forest_2048_41150/~TEAM-8v8_Forest_2048_41150.sanmap
"~TEAM-8v8_Tropical_2048_46361",Maps/~TEAM-8v8_Tropical_2048_46361/~TEAM-8v8_Tropical_2048_46361.sanmap
"~TEAM-8v8_Tropical_2048_73879",Maps/~TEAM-8v8_Tropical_2048_73879/~TEAM-8v8_Tropical_2048_73879.sanmap
